year,topic,article_label,short_label_article,compact_label,plot_label,broader_theme,mean_prevalence,n_documents,prevalence_smooth
1956,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1957,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1958,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1959,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1960,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1961,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1962,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1963,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1964,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1965,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,4.108375301151259e-4
1966,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0012325125903453777,1,4.108375301151259e-4
1967,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,4.108375301151259e-4
1968,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.02788530436329987
1969,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.08365591308989961,3,0.15945829021722485
1970,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.394718957561775,1,0.15945829021722485
1971,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.17079185865473828
1972,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.11765661840243985,2,0.03921887280081328
1973,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.03962542762791204
1974,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0012196644812962811,1,0.005576813920934272
1975,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.015510777281506537,2,0.007253880042457152
1976,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.005031198364568641,1,0.006847325215358392
1977,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.0016770661215228801
1978,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.003307385927049721
1979,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.009922157781149164,2,0.003307385927049721
1980,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.003307385927049721
1981,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0
1982,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.0035737458478151277
1983,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.010721237543445384,2,0.004111264755824077
1984,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0016125567240268478,1,0.004111264755824077
1985,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.001775922626160184
1986,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0037152111544537037,3,0.002577837765818736
1987,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.004018302143002505,3,0.004842782718861323
1988,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.006794834859127763,1,0.004011647040404532
1989,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0012218041190833284,1,0.002866139855069876
1990,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,5.817805869985373e-4,1,7.799851281362836e-4
1991,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,5.363706783269851e-4,4,0.0019874981902378588
1992,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0.0048443433053880535,3,0.001793571327905013
1993,2,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis,0,0,0.055562831478920084
