genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Trigona,4,0.03892022534897495,22,0.061510054866944414,-0.022589829517969465,T4: mitogenome / rearrangement / complete
Trigona,5,0.2371016895050106,22,0.1358948826553891,0.1012068068496215,T5: heterochromatin / karyotype / cytogenetic
Trigona,6,0.12732681199143148,22,0.10239423901694714,0.02493257297448434,T6: numts / restriction / coi
Trigona,7,0.11784285860797743,22,0.20464471646307986,-0.08680185785510243,T7: population / populations / microsatellite
Trigona,8,0.00635005328877603,22,0.08026639149777326,-0.07391633820899723,T8: queens / caste / sex
Trigona,9,0.001980500943873641,22,0.06756067380525382,-0.06558017286138018,T9: microbiome / exposure / malpighian
Trigona,10,0.18938487586754127,22,0.09605418278479429,0.09333069308274698,T10: subspecies / rapd / polymorphic
Unclassified,1,0.4899430427461017,4,0.11514395058097855,0.37479909216512314,T1: clades / taxonomy / ecology
Unclassified,2,0.002354285768810431,4,0.07132679970619538,-0.06897251393738495,T2: lactic / lab / probiotic
Unclassified,3,0.061706258335255636,4,0.06520410862264411,-0.003497850287388478,T3: production / virus / viruses
Unclassified,4,0.001939603482509225,4,0.061510054866944414,-0.05957045138443519,T4: mitogenome / rearrangement / complete
Unclassified,5,0.0032156238382335237,4,0.1358948826553891,-0.1326792588171556,T5: heterochromatin / karyotype / cytogenetic
Unclassified,6,0.016482438689277824,4,0.10239423901694714,-0.08591180032766932,T6: numts / restriction / coi
Unclassified,7,0.2096475284042495,4,0.20464471646307986,0.005002811941169638,T7: population / populations / microsatellite
Unclassified,8,0.015246560271699816,4,0.08026639149777326,-0.06501983122607344,T8: queens / caste / sex
Unclassified,9,0.1971690917818763,4,0.06756067380525382,0.12960841797662248,T9: microbiome / exposure / malpighian
Unclassified,10,0.002295566681985839,4,0.09605418278479429,-0.09375861610280845,T10: subspecies / rapd / polymorphic
