year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
1994,5,0.0026684290390067075,2,T5: karyotype / cytogenetic / cytogenetics,0.0013627184211991554
1995,5,0.0014197262245907586,4,T5: karyotype / cytogenetic / cytogenetics,0.0013627184211991554
1996,5,0,0,T5: karyotype / cytogenetic / cytogenetics,0.1346659370650051
1997,5,0.4025780849704246,2,T5: karyotype / cytogenetic / cytogenetics,0.2995558954741722
1998,5,0.4960896014520921,2,T5: karyotype / cytogenetic / cytogenetics,0.4654266677725819
1999,5,0.4976123168952291,2,T5: karyotype / cytogenetic / cytogenetics,0.3326583769962682
2000,5,0.0042732126414834655,3,T5: karyotype / cytogenetic / cytogenetics,0.1864602267424759
2001,5,0.057495150690715126,3,T5: karyotype / cytogenetic / cytogenetics,0.136465635285417
2002,5,0.3476285425240524,3,T5: karyotype / cytogenetic / cytogenetics,0.25797720632749666
2003,5,0.3688079257677224,3,T5: karyotype / cytogenetic / cytogenetics,0.2559384189629201
2004,5,0.05137878859698544,6,T5: karyotype / cytogenetic / cytogenetics,0.23575356019093283
2005,5,0.2870739662080906,7,T5: karyotype / cytogenetic / cytogenetics,0.12494687330618737
2006,5,0.03638786511348609,9,T5: karyotype / cytogenetic / cytogenetics,0.12482511709902454
2007,5,0.05101351997549692,8,T5: karyotype / cytogenetic / cytogenetics,0.0856816097042111
2008,5,0.16964344402365028,9,T5: karyotype / cytogenetic / cytogenetics,0.1133926077154144
2009,5,0.11952085914709606,15,T5: karyotype / cytogenetic / cytogenetics,0.14708610876665004
2010,5,0.15209402312920378,17,T5: karyotype / cytogenetic / cytogenetics,0.17725249274132654
2011,5,0.2601425959476798,11,T5: karyotype / cytogenetic / cytogenetics,0.1458713665537375
2012,5,0.02537748058432898,13,T5: karyotype / cytogenetic / cytogenetics,0.16370687588840066
2013,5,0.20560055113319328,15,T5: karyotype / cytogenetic / cytogenetics,0.12251530221317221
2014,5,0.1365678749219944,16,T5: karyotype / cytogenetic / cytogenetics,0.11452630161746999
2015,5,0.0014104787972223222,5,T5: karyotype / cytogenetic / cytogenetics,0.04898531551976662
2016,5,0.008977592840083138,10,T5: karyotype / cytogenetic / cytogenetics,0.018557291869779363
2017,5,0.04528380397203263,12,T5: karyotype / cytogenetic / cytogenetics,0.09911539226512886
2018,5,0.24308477998327083,16,T5: karyotype / cytogenetic / cytogenetics,0.1507009761579554
2019,5,0.16373434451856272,16,T5: karyotype / cytogenetic / cytogenetics,0.21422843951267603
2020,5,0.23586619403619458,16,T5: karyotype / cytogenetic / cytogenetics,0.22964825908266734
2021,5,0.2893442386932447,26,T5: karyotype / cytogenetic / cytogenetics,0.19946983560590087
2022,5,0.07319907408826332,23,T5: karyotype / cytogenetic / cytogenetics,0.1563751071122284
2023,5,0.10658200855517719,31,T5: karyotype / cytogenetic / cytogenetics,0.07678743701939614
2024,5,0.05058122841474792,21,T5: karyotype / cytogenetic / cytogenetics,0.0739155504708725
2025,5,0.0645834144426924,39,T5: karyotype / cytogenetic / cytogenetics,0.06707001029191648
2026,5,0.08604538801830913,11,T5: karyotype / cytogenetic / cytogenetics,0.08604538801830913
1950,6,0.003315685667168085,2,T6: numts / restriction / coi,0.003315685667168085
1951,6,0,0,T6: numts / restriction / coi,0.001105228555722695
1952,6,0,0,T6: numts / restriction / coi,0
1953,6,0,0,T6: numts / restriction / coi,0
1954,6,0,0,T6: numts / restriction / coi,0
1955,6,0,0,T6: numts / restriction / coi,0
1956,6,0,0,T6: numts / restriction / coi,0
1957,6,0,0,T6: numts / restriction / coi,0
1958,6,0,0,T6: numts / restriction / coi,0
1959,6,0,0,T6: numts / restriction / coi,0
1960,6,0,0,T6: numts / restriction / coi,0
1961,6,0,0,T6: numts / restriction / coi,0
1962,6,0,0,T6: numts / restriction / coi,0
1963,6,0,0,T6: numts / restriction / coi,0
1964,6,0,0,T6: numts / restriction / coi,0
1965,6,0,0,T6: numts / restriction / coi,0.0012178335996484006
1966,6,0.0036535007989452017,1,T6: numts / restriction / coi,0.0012178335996484006
1967,6,0,0,T6: numts / restriction / coi,0.0012178335996484006
1968,6,0,0,T6: numts / restriction / coi,0.02540382321816196
1969,6,0.07621146965448589,3,T6: numts / restriction / coi,0.04559894596285685
1970,6,0.060585368234084676,1,T6: numts / restriction / coi,0.04559894596285685
1971,6,0,0,T6: numts / restriction / coi,0.02305247990997354
1972,6,0.00857207149583595,2,T6: numts / restriction / coi,0.0028573571652786497
1973,6,0,0,T6: numts / restriction / coi,0.003215053385107129
1974,6,0.0010730886594854385,1,T6: numts / restriction / coi,0.005629746290438425
1975,6,0.015816150211829836,2,T6: numts / restriction / coi,0.009622906608657908
1976,6,0.01197948095465845,1,T6: numts / restriction / coi,0.009265210388829428
1977,6,0,0,T6: numts / restriction / coi,0.003993160318219483
1978,6,0,0,T6: numts / restriction / coi,0.004742800111073963
1979,6,0.01422840033322189,2,T6: numts / restriction / coi,0.004742800111073963
1980,6,0,0,T6: numts / restriction / coi,0.004742800111073963
1981,6,0,0,T6: numts / restriction / coi,0
1982,6,0,0,T6: numts / restriction / coi,0.010726268267628307
1983,6,0.032178804802884924,2,T6: numts / restriction / coi,0.017980792307494015
1984,6,0.021763572119597122,1,T6: numts / restriction / coi,0.017980792307494015
1985,6,0,0,T6: numts / restriction / coi,0.01361079282326337
1986,6,0.019068806350192993,3,T6: numts / restriction / coi,0.011204294336666268
1987,6,0.014544076659805814,3,T6: numts / restriction / coi,0.014843242669691323
1988,6,0.01091684499907516,1,T6: numts / restriction / coi,0.0133786936838324
1989,6,0.014675159392616226,1,T6: numts / restriction / coi,0.010217103323105
1990,6,0.005059305577623614,1,T6: numts / restriction / coi,0.008618132537140853
1991,6,0.00611993264118272,4,T6: numts / restriction / coi,0.18994631849901375
1992,6,0.558659717278235,3,T6: numts / restriction / coi,0.18825988330647256
1993,6,0,0,T6: numts / restriction / coi,0.29377627351899127
1994,6,0.32266910327873877,2,T6: numts / restriction / coi,0.10941693912550704
1995,6,0.005581714097782374,4,T6: numts / restriction / coi,0.10941693912550704
1996,6,0,0,T6: numts / restriction / coi,0.08873535185488234
1997,6,0.26062434146686464,2,T6: numts / restriction / coi,0.14847759138367844
1998,6,0.18480843268417074,2,T6: numts / restriction / coi,0.1864943232502886
1999,6,0.11405019559983054,2,T6: numts / restriction / coi,0.11874766123981027
2000,6,0.05738435543542956,3,T6: numts / restriction / coi,0.16601556717258265
2001,6,0.32661215048248793,3,T6: numts / restriction / coi,0.21671478485430018
2002,6,0.26614784864498314,3,T6: numts / restriction / coi,0.20417530411090287
2003,6,0.019765913205237556,3,T6: numts / restriction / coi,0.17285469004787365
2004,6,0.2326503082934003,6,T6: numts / restriction / coi,0.18730383883974222
2005,6,0.3094952950205888,7,T6: numts / restriction / coi,0.24222782056838169
2006,6,0.18453785839115597,9,T6: numts / restriction / coi,0.22905931321464781
2007,6,0.19314478623219866,8,T6: numts / restriction / coi,0.15369140953965416
2008,6,0.08339158399560785,9,T6: numts / restriction / coi,0.1446159949366891
2009,6,0.15731161458226087,15,T6: numts / restriction / coi,0.13172733939086156
2010,6,0.154478819594716,17,T6: numts / restriction / coi,0.12729927891164092
2011,6,0.07010740255794591,11,T6: numts / restriction / coi,0.09535077004170983
2012,6,0.06146608797246763,13,T6: numts / restriction / coi,0.093507311570637755
2013,6,0.14894844418149975,15,T6: numts / restriction / coi,0.13431457881561784
2014,6,0.19252920429288617,16,T6: numts / restriction / coi,0.1621043426941836
2015,6,0.14483537960816498,5,T6: numts / restriction / coi,0.13717238293537182
2016,6,0.07415256490506432,10,T6: numts / restriction / coi,0.10971417690283385
2017,6,0.11015458619527224,12,T6: numts / restriction / coi,0.13487799255510707
2018,6,0.22032682656498467,16,T6: numts / restriction / coi,0.16699784845561436
2019,6,0.17051213260658618,16,T6: numts / restriction / coi,0.17332236990349134
2020,6,0.12912815053890322,16,T6: numts / restriction / coi,0.12599934414579345
2021,6,0.078357749291891,26,T6: numts / restriction / coi,0.0956073670845761
2022,6,0.07933620142293407,23,T6: numts / restriction / coi,0.08850608473186387
2023,6,0.10782430348076659,31,T6: numts / restriction / coi,0.09377892715797621
2024,6,0.09417627657022797,21,T6: numts / restriction / coi,0.10414490471057601
2025,6,0.11043413408073349,39,T6: numts / restriction / coi,0.09881191019257266
2026,6,0.0918253199267565,11,T6: numts / restriction / coi,0.0918253199267565
1950,7,0.009260319745667546,2,T7: population / populations / microsatellite,0.009260319745667546
1951,7,0,0,T7: population / populations / microsatellite,0.0030867732485558488
1952,7,0,0,T7: population / populations / microsatellite,0
1953,7,0,0,T7: population / populations / microsatellite,0
1954,7,0,0,T7: population / populations / microsatellite,0
1955,7,0,0,T7: population / populations / microsatellite,0
1956,7,0,0,T7: population / populations / microsatellite,0
1957,7,0,0,T7: population / populations / microsatellite,0
1958,7,0,0,T7: population / populations / microsatellite,0
1959,7,0,0,T7: population / populations / microsatellite,0
1960,7,0,0,T7: population / populations / microsatellite,0
1961,7,0,0,T7: population / populations / microsatellite,0
1962,7,0,0,T7: population / populations / microsatellite,0
1963,7,0,0,T7: population / populations / microsatellite,0
1964,7,0,0,T7: population / populations / microsatellite,0
1965,7,0,0,T7: population / populations / microsatellite,0.002635095538268459
1966,7,0.007905286614805378,1,T7: population / populations / microsatellite,0.002635095538268459
1967,7,0,0,T7: population / populations / microsatellite,0.002635095538268459
1968,7,0,0,T7: population / populations / microsatellite,0.003507918238797126
1969,7,0.010523754716391378,3,T7: population / populations / microsatellite,0.0078094800092144345
1970,7,0.012904685311251928,1,T7: population / populations / microsatellite,0.0078094800092144345
1971,7,0,0,T7: population / populations / microsatellite,0.0058418152735424745
1972,7,0.004620760509375497,2,T7: population / populations / microsatellite,0.0015402535031251658
1973,7,0,0,T7: population / populations / microsatellite,0.0030945439700377176
1974,7,0.0046628714007376565,1,T7: population / populations / microsatellite,0.011644725402349251
1975,7,0.0302713048063101,2,T7: population / populations / microsatellite,0.05873147347463259
1976,7,0.14126024421685002,1,T7: population / populations / microsatellite,0.05717718300772004
1977,7,0,0,T7: population / populations / microsatellite,0.04708674807228334
1978,7,0,0,T7: population / populations / microsatellite,0.010584334004372151
1979,7,0.031753002013116455,2,T7: population / populations / microsatellite,0.010584334004372151
1980,7,0,0,T7: population / populations / microsatellite,0.010584334004372151
1981,7,0,0,T7: population / populations / microsatellite,0
1982,7,0,0,T7: population / populations / microsatellite,0.08554861366228583
1983,7,0.2566458409868575,2,T7: population / populations / microsatellite,0.16941731604267551
